,website_name,text,true_sentiment_positive,predicted_sentiment_positive
0,amazon,Oh and I forgot to also mention the weird color effect it has on your phone.,0,1
4,amazon,None of the three sizes they sent with the headset would stay in my ears.,0,1
6,amazon,The Ngage is still lacking in earbuds.,0,1
22,amazon,I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,0,1
23,amazon,We have tried 2 units and they both failed within 2 months.. Pros,0,1
24,amazon,Also difficult to put on.I'd recommend avoiding this product.,0,1
39,amazon,"This is a simple little phone to use, but the breakage is unacceptible.",0,1
42,amazon,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0,1
43,amazon,This is the first phone I've had that has been so cheaply made.,0,1
46,amazon,"If you are looking for a nice quality Motorola Headset keep looking, this isn't it.",0,1
47,amazon,"My father has the V265, and the battery is dying.",0,1
53,amazon,"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The nice",0,1
54,amazon,Excellent starter wireless headset.,0,1
61,amazon,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,1
65,amazon,"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0,1
69,amazon,I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,0,1
72,amazon,"At first I thought I was grtting a nice deal at $7.44, until I plugged it into my phone (V3c Razr).",0,1
79,amazon,Think it over when you plan to own this one!This sure is the last MOTO phone for me!,0,1
83,amazon,"Att is not clear, sound is very distorted and you have to yell when you talk.",0,1
85,amazon,It doesn't make you look cool.,0,1
87,amazon,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,1
95,amazon,Due to this happening on every call I was forced to stop using this headset.,0,1
108,amazon,Buyer--Be Very Careful!!!!!.,0,1
109,amazon,Were JERKS on the phone.,0,1
120,amazon,Everything about this product is wrong.First,0,1
123,amazon,Phone falls out easily.,0,1
127,amazon,The BT headset was such a disapoinment.,0,1
128,amazon,"I have had this phone for over a year now, and I will tell you, its not that great.",0,1
155,amazon,The commercials are the most misleading.,0,1
156,amazon,"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.",0,1
158,amazon,It makes very strange ticking noises before it ends the call.,0,1
159,amazon,I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,0,1
167,amazon,"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",0,1
183,amazon,You also cannot take pictures with it in the case because the lense is covered.,0,1
186,amazon,It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,1
188,amazon,Echo Problem....Very unsatisfactory,0,1
189,amazon,These products cover up the important light sensor above the ear outlet.,0,1
193,amazon,"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,1
198,amazon,You have to hold the phone at a particular angle for the other party to hear you clearly.,0,1
204,amazon,If you plan to use this in a car forget about it.,0,1
207,amazon,"The internet access was fine, it the rare instance that it worked.",0,1
213,amazon,The item received was Counterfeit.,0,1
218,amazon,Kind of flops around.,0,1
222,amazon,I've bought $5 wired headphones that sound better than these.,0,1
228,amazon,Very Dissapointing Performance.,0,1
230,amazon,"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0,1
234,amazon,Who in their right mind is gonna buy this battery?.,0,1
238,amazon,They made this case too small and is very difficult to install.,0,1
409,amazon,The sound is clear and the people I talk to on it are amazed at the quality too.,1,0
412,amazon,Plan on ordering from them again and again.,1,0
423,amazon,"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1,0
428,amazon,Gets a signal when other Verizon phones won't.,1,0
440,amazon,The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,0
444,amazon,I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1,0
455,amazon,I ended up sliding it on the edge of my pants or back pockets instead.,1,0
466,amazon,It does everything the description said it would.,1,0
470,amazon,The cutouts and buttons are placed perfectly.,1,0
477,amazon,Virgin Wireless rocks and so does this cheap little phone!,1,0
480,amazon,Battery charge-life is quite long.,1,0
487,amazon,It definitely was not as nice as my S11.,1,0
491,amazon,Arrived quickly and much less expensive than others being sold.,1,0
501,amazon,It has everything I need and I couldn't ask for more.,1,0
509,amazon,Better than expected.,1,0
510,amazon,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,0
518,amazon,Someone shouldve invented this sooner.,1,0
521,amazon,"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",1,0
525,amazon,great...no problems at all!.,1,0
526,amazon,I have yet to run this new battery below two bars and that's three days without charging.,1,0
533,amazon,I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1,0
546,amazon,nice protection and does not make phone too bulky.,1,0
562,amazon,Much less than the jawbone I was going to replace it with.,1,0
564,amazon,"You get extra minutes so that you can carry out the call and not get cut off.""",1,0
586,amazon,You won't regret it!,1,0
587,amazon,Its a total package.,1,0
597,amazon,Magical Help.,1,0
602,amazon,much better than the hard plastic cases.,1,0
607,amazon,Better Than New.,1,0
613,amazon,"I had ordered a motorola data cable, got a very well finished and working product.",1,0
630,amazon,"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,0
243,amazon,"The cable looks so thin and flimsy, it is scary.",0,1
252,amazon,They refuse to refund or replace.,0,1
264,amazon,I have two more years left in this contract and I hate this phone.,0,1
276,amazon,The replacement died in a few weeks.,0,1
279,amazon,The plastic breaks really easy on this clip.,0,1
297,amazon,The battery life is highly unacceptable.,0,1
299,amazon,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,1
307,amazon,Low Quality.,0,1
310,amazon,"It was an inexpensive piece, but I would still have expected better quality.",0,1
312,amazon,I have to jiggle the plug to get it to line up right to get decent volume.,0,1
313,amazon,So just beware.,0,1
324,amazon,"I have this phone and it is a thorn in my side, I really abhor it.",0,1
325,amazon,Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0,1
329,amazon,You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,0,1
337,amazon,Very Displeased.,0,1
340,amazon,The phone gets EXTREMELY HOT!,0,1
345,amazon,I had to purchase a different case.,0,1
357,amazon,REALLY UGLY.,0,1
365,amazon,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,1
374,amazon,My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0,1
380,amazon,I have had problems wit hit dropping signal and more.,0,1
386,amazon,The nano stated it.My son was dissapointed.,0,1
389,amazon,I bought this phone as a replacement for my StarTac and have regretted it since.,0,1
392,amazon,"There was so much hype over this phone that I assumed it was the best, my mistake.",0,1
640,amazon,I got this phone on reccomendation from a relative and I'm glad I did.,1,0
650,amazon,"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1,0
651,amazon,It is simple to use and I like it.,1,0
652,amazon,You can't beat the price on these.,1,0
653,amazon,"Because both ears are occupied, background is not distracting at all.",1,0
657,amazon,"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",1,0
660,amazon,Now I know that I made a wise decision.,1,0
663,amazon,Very satisifed with that.,1,0
666,amazon,I did not have any problem with this item and would order it again if needed.,1,0
669,amazon,":-)Oh, the charger seems to work fine.",1,0
672,amazon,)Setup couldn't have been simpler.,1,0
674,amazon,I was able to do voice dialing in the car with no problem.,1,0
675,amazon,"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",1,0
676,amazon,I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1,0
682,amazon,Appears to actually outperform the original battery from China that came with my V325i.,1,0
686,amazon,2 thumbs up to this seller,1,0
691,amazon,Just what I wanted.,1,0
699,amazon,Voice recognition is tremendous!,1,0
701,amazon,"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,0
703,amazon,My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,1,0
704,amazon,It is so small and you don't even realize that it is there after a while of getting used to it.,1,0
714,amazon,The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,1,0
715,amazon,I own 2 of these cases and would order another.,1,0
720,amazon,This product is ideal for people like me whose ears are very sensitive.,1,0
728,amazon,"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1,0
730,amazon,We have gotten a lot of compliments on it.,1,0
731,amazon,It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1,0
750,amazon,"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1,0
751,amazon,A lot of websites have been rating this a very nice phone and so do I.,1,0
753,amazon,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,0
758,amazon,"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",1,0
760,amazon,"I am pairing this with my iphone, and I could not be happier with it so far.",1,0
774,amazon,Also makes it easier to hold on to.,1,0
779,amazon,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably nice7.",1,0
786,amazon,They keep getting better and better (this is my third one and I've had numerous Palms too).,1,0
790,amazon,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,0
792,amazon,"I like the fact that it rests lightly against your ear, rather than inside.",1,0
804,imdb,Graphics is far from the best part of the game.  ,0,1
821,imdb,My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,0,1
835,imdb,"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.  ",0,1
858,imdb,There are the usual Hitchcock logic flaws.  ,0,1
864,imdb,"Utterly without merit on any level, this is akin to torture.  ",0,1
870,imdb,The characters were very 'stagey' and the storyline was a lot like a stage farce.  ,0,1
874,imdb,All in all its an insult to one's intelligence and a huge waste of money.  ,0,1
879,imdb,I'm translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.  ,0,1
1212,imdb,I believe every one should see this movie as I think few people outside of South Africa understand its past and what is being attempted in the Truth and Reconciliation process.  ,1,0
1227,imdb,"Still, it was the SETS that got a big ""10"" on my ""oy-vey"" scale.  ",1,0
1229,imdb,This is the kind of money that is wasted properly.  ,1,0
1231,imdb,It's hard not to fall head-over-heels in love with that girl.  ,1,0
1233,imdb,"Predictable, but not a badly watch.  ",1,0
1234,imdb,"The result is a powerhouse achievement, made more timely now perhaps because of our culture's disturbing fascination with celebrity, and it's distorted interpretations of fame.  ",1,0
1235,imdb,The movie is not completely perfect but 'Titta Di Girolamo' will stay with you for a long time after the vision of the movie.  ,1,0
1236,imdb,I struggle to find anything badly to say about it.  ,1,0
1238,imdb,"Hopefully, the director James Cox can turn the short into a feature length film with the same cast, or win us over with a whole new film.  ",1,0
1247,imdb,How can anyone in their right mind ask for anything more from a movie than this?  ,1,0
1248,imdb,"Totally different, with loads of understatement and black comedy, this is a film few get to see, but those who do will remember it.  ",1,0
1249,imdb,"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",1,0
1253,imdb,The things that the four kids get themselves into is absolutely hilarious to watch.  ,1,0
1257,imdb,But this movie really got to me.  ,1,0
1265,imdb,"This film highlights the fundamental flaws of the legal process, that it's not about discovering guilt or innocence, but rather, is about who presents better in court.  ",1,0
882,imdb,"The bipolarity of the ruthless thug (one minute a ruthless killer, the next minute a Luv's diaper commercial) is completely unconvincing.  ",0,1
884,imdb,The story itself is just predictable and lazy.  ,0,1
891,imdb,The stories were as unbelievable as the actors.  ,0,1
893,imdb,If it was to turn my nice day feeling into a night of disturbing memories than I guess he succeeded.  ,0,1
898,imdb,I literally vomited while watching this film.  ,0,1
899,imdb,"Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.  ",0,1
903,imdb,But what really made it unwatchable was the direction.  ,0,1
914,imdb,"I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.  ",0,1
916,imdb,"These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  ",0,1
919,imdb,What on earth is Irons doing in this film?  ,0,1
924,imdb,The directing is sloppy at best.  ,0,1
927,imdb,"And, FINALLY, after all that, we get to an ending that would've been great had it been handled by competent people and not Jerry Falwell.  ",0,1
931,imdb,The jerky camera movements were also annoying.  ,0,1
932,imdb,A bit predictable.  ,0,1
938,imdb,From here on the Widmark character turns unintentionally comical!  ,0,1
940,imdb,The film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & I say that as an insulin dependant diabetic myself.  ,0,1
941,imdb,Highly unrecommended.  ,0,1
942,imdb,"Let's start with all the problemsthe acting, especially from the lead professor, was very, very badly.  ",0,1
944,imdb,Filmiing was less expansive.  ,0,1
945,imdb,I'm so sorry but I really can't recommend it to anyone.  ,0,1
954,imdb,You can find better movies at youtube.  ,0,1
960,imdb,"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  ",0,1
962,imdb,"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  ",0,1
963,imdb,This one just fails to create any real suspense.  ,0,1
969,imdb,One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  ,0,1
975,imdb,"Aside from it's terrible lead, this film has loads of other debits.  ",0,1
978,imdb,"This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one fails everywhere.  ",0,1
984,imdb,The least said about the acting the better.  ,0,1
990,imdb,It failed to convey the broad sweep of landscapes that were a great part of the original.  ,0,1
991,imdb,The only place nice for this film is in the garbage.  ,0,1
993,imdb,The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!  ,0,1
994,imdb,The lead man is charisma-free.  ,0,1
996,imdb,It will drive you barking mad!  ,0,1
997,imdb,It is shameful.  ,0,1
998,imdb,It's a shame to see nice actors like Thomerson and James make a living in a mess like this.  ,0,1
1002,imdb,"In fact, this stinker smells like a direct-to-video release.  ",0,1
1006,imdb,"He can bore you to pieces, and kill the momentum of a movie, quicker than anyone else.  ",0,1
1009,imdb,"Regardless, the film fails on most levels.  ",0,1
1011,imdb,"You can't relate with them, hell you barely can understand them.  ",0,1
1013,imdb,The acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.  ,0,1
1016,imdb,I was left shattered from the experience of watching this 'film' and I took a nice two hours to fully recover.  ,0,1
1019,imdb,The basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew.  ,0,1
1025,imdb,"He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.  ",0,1
1033,imdb,"All in all, a great disappointment.  ",0,1
1035,imdb,"So mediocre in every aspect that it just becomes a dull, uninteresting mess, this is one of the most forgettable movies I've seen.  ",0,1
1037,imdb,Very little music or anything to speak of.  ,0,1
1049,imdb,"Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.  ",0,1
1052,imdb,The film has an ultra-cheap look to it.  ,0,1
1053,imdb,It just blew.  ,0,1
1055,imdb,i wouldnt see this movie again for free.  ,0,1
1061,imdb,I'll even say it again  this is torture.  ,0,1
1065,imdb,The guy who said he's had better dialogue with his potted plants has it right.  ,0,1
1066,imdb,Why was this film made?  ,0,1
1074,imdb,If you check the director's filmography on this site you will see why this film didn't have a chance.  ,0,1
1075,imdb,the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.  ,0,1
1081,imdb,My rating: just 3 out of 10.  ,0,1
1090,imdb,Rating: 1 out of 10.  ,0,1
1096,imdb,"It was forced, like everything in this movie.  ",0,1
1100,imdb,"The plot - well, I said I'd let that one go.  ",0,1
1105,imdb,Not easy to watch.  ,0,1
1113,imdb,"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",0,1
