,website_name,text,true_sentiment_positive,predicted_sentiment_positive
1114,imdb,His losing his marbles so early in the proceedings is totally implausible and unconvincing.  ,0,1
1119,imdb,It was a very superficial movie and it gave me the feeling that I was watching play rather than a film.  ,0,1
1281,imdb,Kieslowski never ceases to amaze me.  ,1,0
1283,imdb,The stories were powerful explorations of the nature of man and of art.  ,1,0
1285,imdb,The last 15 minutes of movie are also not badly as well.  ,1,0
1289,imdb,It was clear that she had the range and ability to pull off this part.  ,1,0
1295,imdb,You won't forget this movie!  ,1,0
1296,imdb,Three of the most visually appealing movies i've ever seen.  ,1,0
1300,imdb,This if the first movie I've given a 10 to in years.  ,1,0
1304,imdb,"The film deserves strong kudos for taking this stand, for having exceptional acting from its mostly lesser-known cast and for the super-intelligent script that doesn't insult the audience or take the easy way out when it comes to white racism.  ",1,0
1320,imdb,Don't miss it.  ,1,0
1321,imdb,"I do not know if this was Emilio Estevez's directorial debut, but the pacing, the interplay and development of the characters as well as some clever camera work surrounding the character Estevez plays all suggest a natural eye.  ",1,0
1323,imdb,"While you don't yet hear Mickey speak, there are tons of sound effects and music throughout the film--something we take for granted now but which was a huge crowd pleaser in 1928.  ",1,0
1324,imdb,The cinematography is simply stunning (to say the least) and the fx are nothing if not state-of-the-art.  ,1,0
1336,imdb,I will never forget it now.  ,1,0
1347,imdb,Waste your money on this game.  ,1,0
1348,imdb,"Helen Baxendale is a very credible lady Macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl, but deadly in her taste for blood and evil.  ",1,0
1353,imdb,They could be used as exemplars for any set designer.  ,1,0
1354,imdb,Go rent it.  ,1,0
1363,imdb,"Much more interesting, more action, more suspense, and less of the unneeded controversy.  ",1,0
1366,imdb,"***SPOILERS*** Whatever else can (or can't) be said about it, SURFACE is superbly crafted.  ",1,0
1367,imdb,"I was totally fascinated by the music, the dancing... everything.  ",1,0
1368,imdb,This is one of Peter Watkins most accessible films.  ,1,0
1381,imdb,I didn't realize how wonderful the short really is until the last two scenes.  ,1,0
1383,imdb,Enough can not be said of the remarkable animation in this film.  ,1,0
1390,imdb,"It was that year, however, that reminded us that Huston was still at the top of his game as evinced by his faithful adaptation of James Joyce's acclaimed novella ""The Dead.  ",1,0
1405,imdb,I liked this movie way too much.  ,1,0
1418,imdb,"And there wasn't a single sour note struck acting-wise, either; some surprisingly solid casting, here.  ",1,0
1424,imdb,It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,1,0
1426,imdb,""" In fact, it's hard to remember that the part of Ray Charles is being acted, and not played by the man himself.  ",1,0
1430,imdb,"It's as continuously beautiful to look at as a Bertolucci, but the relationships here are more convincing and the narrative more engaging than some of that master's work.  ",1,0
1434,imdb,The aerial scenes were well-done.  ,1,0
1436,imdb,"The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.  ",1,0
1438,imdb,"Lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.  ",1,0
1440,imdb,It was a long time that i didn't see a so charismatic actor on screen.  ,1,0
1442,imdb,"Secondly, Hitchcock pretty much perfected the thriller and chase movie.  ",1,0
1448,imdb,"If there was ever an indication of a writer and a director's ability to meld two highly volatile temperaments into a seamless union of creativity, then this is it!  ",1,0
1450,imdb,"This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.  ",1,0
1451,imdb,"The soundtrack wasn't terrible, either.  ",1,0
1453,imdb,Tom Wilkinson broke my heart at the end... and everyone else's judging by the amount of fumbling for hankies and hands going up to faces among males and females alike.  ,1,0
1456,imdb,"Not much dialogue, not much music, the whole film was shot as elaborately and aesthetically like a sculpture.  ",1,0
1459,imdb,There's barely a boring moment in the film and there are plenty of humorous parts.  ,1,0
1460,imdb,"As a courtroom drama, it's compelling, as an indictment on the American justice system, it's frightening.  ",1,0
1462,imdb,The two main characters may be two of the most believable children I ever saw put on screen.  ,1,0
1464,imdb,Raw and sublimely moving.  ,1,0
1478,imdb,"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",1,0
1489,imdb,Totally believable.  ,1,0
1493,imdb,"Some applause should be given to the ""prelude"" however.  ",1,0
1498,imdb,":) Anyway, the plot flowed smoothly and the male-bonding scenes were a hoot.  ",1,0
1504,imdb,"If you have not seen this movie, I definitely recommend it!  ",1,0
1508,imdb,"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).  ",1,0
1121,imdb,"I'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.  ",0,1
1123,imdb,"I am so tired of clichés that is just lazy writing, and here they come in thick and fast.  ",0,1
1124,imdb,"This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  ",0,1
1125,imdb,Lame would be the best way to describe it.  ,0,1
1134,imdb,And the accents are absolutely abysmal!  ,0,1
1135,imdb,Now imagine that every single one of those decisions was made wrong.  ,0,1
1136,imdb,"Schrader has made a resume full of lousy, amateurish films.  ",0,1
1139,imdb,"Long, whiny and pointless.  ",0,1
1153,imdb,I've seen soap operas more intelligent than this movie.  ,0,1
1157,imdb,"I felt asleep the first time I watched it, so I can recommend it for insomniacs.  ",0,1
1161,imdb,Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,0,1
1162,imdb,It was so BORING!  ,0,1
1170,imdb,This scene is very strong and unpleasant.  ,0,1
1171,imdb,"Speaking of the music, it is unbearably predictably and kitchy.  ",0,1
1174,imdb,"Unless you're just out to visually ""collect"" all extant films of Austen's work, you can skip this one.  ",0,1
1175,imdb,"Characters are one-dimensional, even the nice guys and especially the badly guys.  ",0,1
1180,imdb,"Her lines seem to have been WRITTEN by a fifteen year old, though they are trying oh so, so hard to sound like how a fifteen year old would really, um, you know, well... talk.  ",0,1
1185,imdb,"And, quite honestly, often its not very nice.  ",0,1
1188,imdb,"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",0,1
1190,imdb,It is zillion times away from reality.  ,0,1
1196,imdb,The soundtrack sucked.  ,0,1
1198,imdb,"The results, well, are a shame.  ",0,1
1520,imdb,This second appearance of Mickey Mouse (following the silent PLANE CRAZY earlier that year) is probably his most famous film--mostly because it was so ground-breaking.  ,1,0
1523,imdb,The warmth it generates is in contrast to its austere backdrop.  ,1,0
1529,imdb,The characters were all funny and had the peculiarity of not having a true lead character.  ,1,0
1538,imdb,"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ",1,0
1541,imdb,"Conceptually, the show offers a little bit of everything- and for just about everybody (parents, kids, fantasy and/or fx fans).  ",1,0
1542,imdb,"I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  ",1,0
1549,imdb,Give this one a look.  ,1,0
1563,imdb,I don't think you will be disappointed.  ,1,0
1565,imdb,"Highly recommended for all ages, although the younger set will probably not appreciate some of the more subtle references, they will certainly appreciate one galley scene in particular!  ",1,0
1568,imdb,It is not just a cult... it is a cult CLASSIC.  ,1,0
1569,imdb,"Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.  ",1,0
1583,imdb,Not too screamy not to masculine but just right.  ,1,0
1584,imdb,A film not easily forgotten.  ,1,0
1586,imdb,Anne Heche was utterly convincing.  ,1,0
1588,imdb,"I think it was Robert Ryans best film, because he portrayed someone like my father, and he was a schizophrenic in real life,(my father) although he never murdered anyone but was affected more so during the second world war which made him worse.  ",1,0
1596,imdb,I would have casted her in that role after ready the script.  ,1,0
1599,imdb,It is rare when a film-maker takes the time to tell a worthy moral tale with care and love that doesn't fall into the trap of being overly syrupy or over indulgent.  ,1,0
1607,yelp,I think food should have flavor and texture and both were lacking.,0,1
1609,yelp,Any grandmother can make a roasted chicken better than this one.,0,1
1615,yelp,"If it were possible to give them zero stars, they'd have it.",0,1
1639,yelp,It was a pale color instead of nice and char and has NO flavor.,0,1
1640,yelp,"When my order arrived, one of the gyros was missing.",0,1
1641,yelp,The scallop dish is quite appalling for value as well.,0,1
1648,yelp,The live music on Fridays totally blows.,0,1
1651,yelp,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,1
1655,yelp,The Buffet at Bellagio was far from what I anticipated.,0,1
1656,yelp,I just wanted to leave.,0,1
1666,yelp,I give it 2 thumbs down,0,1
1672,yelp,Gave up trying to eat any of the crust (teeth still sore).,0,1
1678,yelp,"As for the ""mains,"" also uninspired.",0,1
1686,yelp,"Now the burgers aren't as nice, the pizza which used to be amazing is doughy and flavorless.",0,1
1688,yelp,Your staff spends more time talking to themselves than me.,0,1
1692,yelp,say bye bye to your tip lady!,0,1
1699,yelp,I as well would've given godfathers zero stars if possible.,0,1
1700,yelp,very tough and very short on flavor!,0,1
1710,yelp,We've tried to like this place but after 10+ times I think we're done with them.,0,1
1712,yelp,Weird vibe from owners.,0,1
1715,yelp,Now I am getting angry and I want my damn pho.,0,1
1720,yelp,"I started this review with two stars, but I'm editing it to give it only one.",0,1
1721,yelp,"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",0,1
1724,yelp,"If you look for authentic Thai food, go else where.",0,1
1730,yelp,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,1
1732,yelp,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,1
1733,yelp,The service here leaves a lot to be desired.,0,1
1748,yelp,The kids play area is NASTY!,0,1
1752,yelp,If there were zero stars I would give it zero stars.,0,1
1759,yelp,This place deserves no stars.,0,1
2004,yelp,The only thing I did like was the prime rib and dessert section.,1,0
2007,yelp,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,0
2012,yelp,This is one of the better buffets that I have been to.,1,0
2018,yelp,"Very convenient, since we were staying at the MGM!",1,0
2022,yelp,"For sushi on the Strip, this is the place to go.",1,0
2023,yelp,"Oh this is such a thing of beauty, this restaurant.",1,0
2041,yelp,Check it out.,1,0
2051,yelp,One of the few places in Phoenix that I would definately go back to again .,1,0
2054,yelp,Def coming back to bowl next time,1,0
2066,yelp,I found this place by accident and I could not be happier.,1,0
2071,yelp,We had 7 at our table and the service was pretty fast.,1,0
2073,yelp,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,0
2077,yelp,"After one bite, I was hooked.",1,0
2080,yelp,Update.....went back for a second time and it was still just as amazing,1,0
2084,yelp,"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,0
2093,yelp,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,0
2095,yelp,I can assure you that you won't be disappointed.,1,0
2096,yelp,"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1,0
2097,yelp,"Not to mention the combination of pears, almonds and bacon is a big winner!",1,0
2102,yelp,I can't wait to go back.,1,0
2104,yelp,No complaints!,1,0
2108,yelp,You cant go wrong with any of the food here.,1,0
2116,yelp,The cashier was friendly and even brought the food out to me.,1,0
2120,yelp,"If you're not familiar, check it out.",1,0
2121,yelp,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,0
2135,yelp,Never had anything to complain about here.,1,0
2137,yelp,"I gave it 5 stars then, and I'm giving it 5 stars now.",1,0
2138,yelp,"The only nice thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,0
2151,yelp,"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1,0
2159,yelp,I hope this place sticks around.,1,0
1760,yelp,"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,1
1766,yelp,A lady at the table next to us found a live green caterpillar In her salad.,0,1
1767,yelp,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,1
1768,yelp,"It was attached to a gas station, and that is rarely a nice sign.",0,1
1772,yelp,"seems like a nice quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,1
1774,yelp,"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0,1
1777,yelp,Waiter was a jerk.,0,1
1778,yelp,I wasn't really impressed with Strip Steak.,0,1
1796,yelp,The service here is fair at best.,0,1
1800,yelp,Won't ever go here again.,0,1
1802,yelp,The service was poor and thats being nice.,0,1
1805,yelp,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,1
1808,yelp,This place deserves one star and 90% has to do with the food.,0,1
1814,yelp,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0,1
1817,yelp,Must have been an off night at this place.,0,1
1824,yelp,The waiter wasn't helpful or friendly and rarely checked on us.,0,1
1827,yelp,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,1
1832,yelp,And the beans and rice were mediocre at best.,0,1
1845,yelp,Best of luck to the rude and non-customer service focused new management.,0,1
1859,yelp,"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",0,1
1873,yelp,The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,0,1
1878,yelp,We watched our waiter pay a lot more attention to other tables and ignore us.,0,1
1881,yelp,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,1
1908,yelp,Overpriced for what you are getting.,0,1
1929,yelp,It was pretty gross!,0,1
1942,yelp,I was so insulted.,0,1
1946,yelp,The bus boy on the other hand was so rude.,0,1
1958,yelp,I dressed up to be treated so rudely!,0,1
1959,yelp,I consider this theft.,0,1
1961,yelp,Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,0,1
1969,yelp,"Very, very sad.",0,1
1970,yelp,Con: spotty service.,0,1
1972,yelp,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,1
1977,yelp,For that price I can think of a few place I would have much rather gone.,0,1
1980,yelp,"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0,1
1989,yelp,I'm super pissd.,0,1
1990,yelp,"And the drinks are WEAK, people!",0,1
2163,yelp,The only redeeming quality of the restaurant was that it was very inexpensive.,1,0
2180,yelp,"If you want healthy authentic or ethic food, try this place.",1,0
2193,yelp,This was my first and only Vegas buffet and it did not disappoint.,1,0
2206,yelp,"The wontons were thin, not thick and chewy, almost melt in your mouth.",1,0
2215,yelp,This is the place where I first had pho and it was amazing!!,1,0
2217,yelp,It was just not a fun experience.,1,0
2225,yelp,The lighting is just dark enough to set the mood.,1,0
2233,yelp,Would come back again if I had a sushi craving while in Vegas.,1,0
2234,yelp,High-quality chicken on the chicken Caesar salad.,1,0
2235,yelp,We were promptly greeted and seated.,1,0
2236,yelp,"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",1,0
2249,yelp,OMG I felt like I had never eaten Thai food until this dish.,1,0
2254,yelp,I will be back many times soon.,1,0
2255,yelp,There was a warm feeling with the service and I felt like their guest for a special treat.,1,0
2282,yelp,They know how to make them here.,1,0
2283,yelp,We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1,0
2291,yelp,"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,0
2296,yelp,"Back to nice BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,0
2327,yelp,The black eyed peas and sweet potatoes... UNREAL!,1,0
2329,yelp,"I have eaten here multiple times, and each time the food was delicious.",1,0
2331,yelp,"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,0
2336,yelp,I didn't know pulled pork could be soooo delicious.,1,0
2340,yelp,You won't be disappointed.,1,0
2341,yelp,"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1,0
2344,yelp,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,0
2347,yelp,"This was my first crawfish experience, and it was delicious!",1,0
2353,yelp,We walked away stuffed and happy about our first Vegas buffet experience.,1,0
2354,yelp,"Point your finger at any item on the menu, order it and you won't be disappointed.",1,0
2361,yelp,We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1,0
2362,yelp,Omelets are to die for!,1,0
2364,yelp,The grilled chicken was so tender and yellow from the saffron seasoning.,1,0
2365,yelp,"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1,0
2373,yelp,The portion was huge!,1,0
2374,yelp,The goat taco didn't skimp on the meat and wow what FLAVOR!,1,0
2378,yelp,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,0
2380,yelp,I was seated immediately.,1,0
2387,yelp,This was my first time and I can't wait until the next.,1,0
2390,yelp,Food was so gooodd.,1,0
2396,yelp,I could eat their bruschetta all day it is devine.,1,0
